campaign,arm,pane,sample,at,readiness,outcome,opened_ms,visible_bubbles,source_epoch,expected_epoch,mount_ms,selection_and_settle_ms,idle_wait_ms,uptime_before,uptime_after,concurrent_runner_before,concurrent_runner_after
improvements,base,generic,selector-1,2026-09-15T01:00:52.595Z,visible source counts,completed,1932.1,50,A,,23048.6,44.7,,"18:00  up  3:32, 14 users, load averages: 60.10 40.59 32.97","18:01  up  3:32, 14 users, load averages: 107.98 53.35 37.82","PID ELAPSED  %CPU
91059   19:18  80.5","PID ELAPSED  %CPU
91059   19:46  83.3"
improvements,runtime,generic,selector-1,2026-09-15T01:01:21.427Z,visible source counts,completed,1465.3,50,A,,10929.8,18.6,,"18:01  up  3:32, 14 users, load averages: 107.98 53.35 37.82","18:01  up  3:32, 14 users, load averages: 111.26 55.93 38.92","PID ELAPSED  %CPU
91059   19:47  96.7","PID ELAPSED  %CPU
91059   20:00 173.9"
improvements,runtime,cf-person-inbox,selector-1,2026-09-15T01:01:34.856Z,visible source counts,completed,103.9,50,A,,12376.7,14.2,,"18:01  up  3:32, 14 users, load averages: 111.26 55.93 38.92","18:01  up  3:33, 14 users, load averages: 89.60 53.84 38.47","PID ELAPSED  %CPU
91059   20:00 179.7",full runner process exited
improvements,base,cf-person-inbox,selector-1,2026-09-15T01:01:47.905Z,visible source counts,completed,120.4,50,A,,3826.4,13.4,,"18:01  up  3:33, 14 users, load averages: 89.60 53.84 38.47","18:01  up  3:33, 14 users, load averages: 87.71 54.04 38.63",full runner process exited,full runner process exited
improvements,base,cf-person-inbox,selector-2,2026-09-15T01:01:52.369Z,visible source counts,completed,116,50,A,,3829.5,13.8,,"18:01  up  3:33, 14 users, load averages: 87.71 54.04 38.63","18:01  up  3:33, 14 users, load averages: 81.64 53.34 38.48",full runner process exited,full runner process exited
improvements,runtime,cf-person-inbox,selector-2,2026-09-15T01:01:56.843Z,visible source counts,completed,110.9,50,A,,4388.5,13.4,,"18:01  up  3:33, 14 users, load averages: 81.64 53.34 38.48","18:02  up  3:33, 14 users, load averages: 75.91 52.62 38.31",full runner process exited,full runner process exited
improvements,runtime,generic,selector-2,2026-09-15T01:02:01.885Z,visible source counts,completed,1003.4,50,A,,6391.2,13.3,,"18:02  up  3:33, 14 users, load averages: 75.91 52.62 38.31","18:02  up  3:33, 14 users, load averages: 71.03 52.00 38.17",full runner process exited,full runner process exited
improvements,base,generic,selector-2,2026-09-15T01:02:09.859Z,visible source counts,completed,1876.2,50,A,,8411.8,17.3,,"18:02  up  3:33, 14 users, load averages: 71.03 52.00 38.17","18:02  up  3:33, 14 users, load averages: 57.04 49.84 37.64",full runner process exited,full runner process exited
improvements,base,prepared,selector-2,2026-09-15T01:02:20.669Z,visible source counts,completed,757.7,50,A,,7376.5,13.1,,"18:02  up  3:33, 14 users, load averages: 57.04 49.84 37.64","18:02  up  3:33, 14 users, load averages: 53.51 49.23 37.50",full runner process exited,full runner process exited
improvements,base,header,selector-2,2026-09-15T01:02:29.342Z,visible source counts,dropped handler interaction; interrupted,,,,,7909.1,35.0,,"18:02  up  3:33, 14 users, load averages: 53.51 49.23 37.50","18:04  up  3:36, 14 users, load averages: 17.08 36.03 33.90",full runner process exited,full runner process exited
improvements,base,header,settled-smoke,2026-09-15T01:09:25.963Z,visible source counts then runtime idle,content guard rejected; source epoch changed,2720.7,50,B,,38883.3,18.9,2.8,"18:09  up  3:40, 14 users, load averages: 94.42 52.23 40.25","18:10  up  3:41, 14 users, load averages: 81.70 54.60 41.69",full runner process exited,full runner process exited
improvements,base,cf-person-inbox,settled-control-epoch2,2026-09-15T01:13:23.677Z,visible source counts then runtime idle,completed,352.5,50,B,B,11956.6,24.0,1.4,"18:13  up  3:44, 14 users, load averages: 83.60 76.80 54.08","18:13  up  3:44, 14 users, load averages: 68.39 73.78 53.39",full runner process exited,full runner process exited
improvements,base,prepared-cell,settled-smoke,2026-09-15T01:14:32.685Z,visible source counts then runtime idle,completed,1421.5,50,B,B,18625.0,9385.4,1.0,"18:14  up  3:45, 14 users, load averages: 66.42 71.32 53.69","18:15  up  3:46, 14 users, load averages: 92.57 77.11 56.40",full runner process exited,full runner process exited
improvements,base,cf-person-inbox-lift,settled-1,2026-09-15T01:15:57.236Z,visible source counts then runtime idle,completed,5687,50,B,B,10500.4,358.7,311.1,"18:15  up  3:47, 14 users, load averages: 59.62 71.33 55.60","18:16  up  3:47, 14 users, load averages: 50.33 68.70 54.93",full runner process exited,full runner process exited
improvements,runtime,cf-person-inbox-lift,settled-1,2026-09-15T01:16:15.477Z,visible source counts then runtime idle,completed,4793.1,50,B,B,11448.6,160.7,129.9,"18:16  up  3:47, 14 users, load averages: 48.70 68.06 54.79","18:16  up  3:47, 14 users, load averages: 42.85 65.80 54.21",full runner process exited,full runner process exited
improvements,runtime,header,settled-1,2026-09-15T01:16:33.224Z,visible source counts then runtime idle,completed,2724.6,50,B,B,18034.8,405.2,355.0,"18:16  up  3:47, 14 users, load averages: 42.85 65.80 54.21","18:16  up  3:48, 14 users, load averages: 39.28 63.56 53.68",full runner process exited,full runner process exited
improvements,base,header,settled-1,2026-09-15T01:16:55.667Z,visible source counts then runtime idle,completed,2558.8,50,B,B,13524.1,24.9,1.4,"18:16  up  3:48, 14 users, load averages: 38.94 63.09 53.57","18:17  up  3:48, 14 users, load averages: 41.55 62.49 53.53",full runner process exited,full runner process exited
improvements,base,prepared-cell,settled-1,2026-09-15T01:17:12.889Z,visible source counts then runtime idle,completed,1787.5,50,B,B,12503.2,63.3,8.1,"18:17  up  3:48, 14 users, load averages: 41.55 62.49 53.53","18:17  up  3:48, 14 users, load averages: 40.07 61.08 53.18",full runner process exited,full runner process exited
improvements,runtime,prepared-cell,settled-1,2026-09-15T01:17:28.716Z,visible source counts,host mount aborted; no interaction,,,,B,,,,"18:17  up  3:48, 14 users, load averages: 40.07 61.08 53.18","18:20  up  3:51, 14 users, load averages: 85.47 89.19 67.69",full runner process exited,full runner process exited
