recordType,valid,arm,pane,rep,at,openMs,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,error
timing,True,r3,cf-person-inbox,round3-2,2026-09-15T05:23:51.686Z,124.40000000223517,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:55, 14 users, load averages: 13.89 11.65 16.73","22:23  up  7:55, 14 users, load averages: 15.50 12.02 16.83",
timing,True,r3,header,round3-2,2026-09-15T05:23:58.808Z,1110.5999999977648,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:55, 14 users, load averages: 15.50 12.02 16.83","22:24  up  7:55, 14 users, load averages: 19.57 13.02 17.13",
timing,True,r2,cf-person-inbox,round3-2,2026-09-15T05:24:09.980Z,135.89999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:55, 14 users, load averages: 19.57 13.02 17.13","22:24  up  7:55, 14 users, load averages: 21.22 13.59 17.29",
timing,True,r2,header,round3-2,2026-09-15T05:24:20.581Z,902.6000000014901,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:55, 14 users, load averages: 21.22 13.59 17.29","22:24  up  7:55, 14 users, load averages: 23.68 14.37 17.52",
timing,True,r2,header,round3-3,2026-09-15T05:24:27.913Z,944.1999999992549,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:55, 14 users, load averages: 23.68 14.37 17.52","22:24  up  7:55, 14 users, load averages: 23.31 14.44 17.53",
timing,True,r2,cf-person-inbox,round3-3,2026-09-15T05:24:35.214Z,346.3999999985099,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:55, 14 users, load averages: 23.31 14.44 17.53","22:24  up  7:55, 14 users, load averages: 27.96 15.73 17.95",
timing,True,r3,header,round3-3,2026-09-15T05:24:41.602Z,819.3999999985099,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:56, 14 users, load averages: 27.96 15.73 17.95","22:24  up  7:56, 14 users, load averages: 28.12 15.96 18.02",
timing,True,r3,cf-person-inbox,round3-3,2026-09-15T05:24:47.770Z,143.09999999776483,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:24  up  7:56, 14 users, load averages: 28.12 15.96 18.02","22:24  up  7:56, 14 users, load averages: 28.43 16.23 18.10",
timing,True,r3,cf-person-inbox,round3-4,2026-09-15T05:25:19.065Z,206.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:25  up  7:56, 14 users, load averages: 22.42 15.85 17.91","22:25  up  7:56, 14 users, load averages: 21.65 15.89 17.90",
timing,True,r3,header,round3-4,2026-09-15T05:25:30.605Z,1459.6000000014901,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:25  up  7:56, 14 users, load averages: 21.65 15.89 17.90","22:25  up  7:56, 14 users, load averages: 20.83 15.90 17.88",
